simple_ingr,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Cluster
Cream Puff Shell,18237.0,0.0,159.0,4.0,22.8,171.0,114.4,0.8,237.0,0.0,1.567,9.0,274.0,0.36,24.0,0.25,0.206,40.5,11.128,7.38,5.599,25.9,36.0,0.051,2.02,12.0,119.0,97.0,483.0,0.73,288.0,0.39,0.075,0.0,2.85,24.5,3
Creamy dressing,42136.5,8.5,32.0,0.5,13.5,0.0,16.0,0.0,41.0,2.5,0.03,1.45,3.0,0.0349999999999999,1.6,5.5,0.01,74.35,1.9565,4.718999999999999,1.3045,8.35,21.0,0.0,0.19,3.5,42.0,84.5,865.0,0.11,6.0,0.035,0.025,0.2,1.56,2.9,2
Cress,11203.0,0.0,4150.0,0.0,5.5,0.0,19.5,1.1,12500.0,0.0,1.0,2.6,0.0,0.26,0.9,4.4,0.08,89.4,0.239,0.228,0.023,0.7,81.0,0.17,1.3,38.0,76.0,606.0,14.0,0.23,346.0,0.0,0.247,69.0,0.7,541.9,1
Croissants,18240.0,0.0,63.5,0.5,46.4,62.0,38.8,2.6,58.5,0.0,2.1740000000000004,8.7,199.5,0.283,24.75,11.305,0.4555,22.1,6.017,1.739,11.1435,20.95,45.0,0.09,2.09,20.0,117.5,125.0,372.5,0.845,205.0,0.24,0.0655,0.2,1.14,6.3500000000000005,3
Croutons,18243.0,0.0,6.0,0.0,63.5,7.0,14.6,5.0,45.0,0.0,4.646,10.8,7.0,0.421,28.8,4.41,0.506,3.6,9.498,2.368,5.247,18.3,96.0,0.168,2.82,42.0,140.0,181.0,1333.0,0.94,7.0,0.14,0.083,0.0,0.4,7.6,3
Crustaceans,15145.7,0.0,0.0,0.0,1.743,132.3,78.5,0.05,0.0,0.0,1.9037,16.845,17.9,0.0468,43.97,0.625,0.0298,78.513,0.2073999999999999,0.3524,0.2317,0.977,75.2,0.6365000000000001,0.627,34.8,236.7,199.9,364.8,2.315,17.9,1.757,0.1262,1.2799999999999998,1.469,0.19,3
Cucumber,11205.0,11.0,45.0,26.0,3.63,0.0,6.0,0.5,23.0,0.0,0.098,0.65,0.0,0.033,0.3,1.67,0.027,95.23,0.005,0.032,0.037,0.11,16.0,0.041,0.28,13.0,24.0,147.0,2.0,0.2,5.0,0.0,0.04,2.8,0.03,16.4,2
Currants,9085.0,1.0,43.0,1.0,76.98,0.0,10.6,4.4,0.0,0.0,1.615,3.43,0.0,0.142,0.7,62.28,0.16,17.6,0.021,0.047,0.085,0.22,88.0,0.298,1.88,36.0,99.0,777.0,43.0,0.37,4.0,0.0,0.296,4.7,0.11,3.3,2
Dandelion Greens,11207.0,363.0,5854.0,121.0,9.2,0.0,35.3,3.5,13610.0,0.0,0.806,2.7,0.0,0.26,0.5,0.71,0.19,85.6,0.014,0.306,0.17,0.7,187.0,0.171,3.1,36.0,66.0,397.0,76.0,0.41,508.0,0.0,0.251,35.0,3.44,778.4,1
Danish Pastry,18245.0,0.0,3.6666666666666665,0.6666666666666666,43.2,52.66666666666666,21.23333333333333,1.4,46.333333333333336,0.0,2.2863333333333333,6.8,18.33333333333333,0.2476666666666666,16.900000000000002,18.08666666666667,0.251,27.6,11.284666666666666,2.624,5.778333333333333,20.933333333333334,50.66666666666666,0.0846666666666666,1.8433333333333333,16.333333333333332,101.33333333333331,102.0,425.3333333333333,0.6533333333333333,18.666666666666668,0.13,0.0403333333333333,1.3666666666666665,0.36,7.2,3
